number,description,parent_code,level
0107015.04,Desinvesteringen goodwill,,5
0107015.05,Afstotingen goodwill,,5
0107015.06,Omrekeningsverschillen goodwill,,5
0107015.07,Overige mutaties goodwill,,5
0107020.01,Beginbalans (overname eindsaldo vorig jaar) goodwill,,5
0107020.02,Afschrijvingen goodwill,,5
0107020.03,Afschrijving op desinvesteringen goodwill,,5
0107020.04,Bijzondere waardeverminderingen goodwill,,5
0107020.05,Terugneming van bijzondere waardeverminderingen goodwill,,5
0107020.06,Overige mutaties waardeveranderingen goodwill,,5
0107030.01,Beginbalans (overname eindsaldo vorig jaar) goodwill,,5
0107030.02,Herwaarderingen goodwill,,5
0107030.03,"Afschrijving herwaarderingen concessies, goodwill",,5
0201030.06,Overige mutaties herwaarderingen terreinen,,5
0107030.05,Aanpassingen van de goodwill als gevolg van later geïdentificeerde activa en passiva en veranderingen in de waarde ervan,,5
0107030.04,Desinvestering herwaarderingen goodwill,,5
0109010.01,Beginbalans (overname eindsaldo vorig jaar) vooruitbetalingen op immateriële vaste activa,,5
0109010.02,Investeringen vooruitbetalingen op immateriële vaste activa,,5
0109010.03,Bij overname verkregen activa vooruitbetalingen op immateriële vaste activa,,5
0109010.04,Desinvesteringen vooruitbetalingen op immateriële vaste activa,,5
0109010.05,Afstotingen vooruitbetalingen op immateriële vaste activa,,5
0109010.06,Omrekeningsverschillen vooruitbetalingen op immateriële vaste activa,,5
0109010.07,Overige mutaties vooruitbetalingen op immateriële vaste activa,,5
0109015.01,Beginbalans (overname eindsaldo vorig jaar) vooruitbetalingen op immateriële vaste activa,,5
0109015.02,Investeringen vooruitbetalingen op immateriële vaste activa,,5
0109015.03,Bij overname verkregen activa vooruitbetalingen op immateriële vaste activa,,5
0109015.04,Desinvesteringen vooruitbetalingen op immateriële vaste activa,,5
0109015.05,Afstotingen vooruitbetalingen op immateriële vaste activa,,5
0109015.06,Omrekeningsverschillen vooruitbetalingen op immateriële vaste activa,,5
0109015.07,Overige mutaties vooruitbetalingen op immateriële vaste activa,,5
0109020.01,Beginbalans (overname eindsaldo vorig jaar) vooruitbetalingen op immateriële vaste activa,,5
0109020.02,Afschrijvingen vooruitbetalingen op immateriële vaste activa,,5
0109020.03,Afschrijving op desinvesteringen vooruitbetalingen op immateriële vaste activa,,5
0109020.04,Bijzondere waardeverminderingen vooruitbetalingen op immateriële vaste activa,,5
0109020.05,Terugneming van bijzondere waardeverminderingen vooruitbetalingen op immateriële vaste activa,,5
0109030.01,Beginbalans (overname eindsaldo vorig jaar) vooruitbetalingen op immateriële vaste activa,,5
0109030.02,Herwaarderingen vooruitbetalingen op immateriële vaste activa,,5
0109030.03,Afschrijving herwaarderingen vooruitbetalingen op immateriële vaste activa,,5
0109030.04,Desinvestering herwaarderingen vooruitbetalingen op immateriële vaste activa,,5
0105010.01,Beginbalans bouwclaims,,5
0105010.02,Investeringen bouwclaims,,5
0105010.03,Aankopen door overnames bouwclaims,,5
0105010.04,Desinvesteringen bouwclaims,,5
0105010.05,Desinvesteringen door afstotingen bouwclaims,,5
0105010.06,Omrekeningsverschillen bouwclaims,,5
0105010.07,Overige mutaties bouwclaims,,5
0105015.01,Beginbalans bouwclaims,,5
0105015.02,Investeringen bouwclaims,,5
0105015.03,Aankopen door overnames bouwclaims,,5
0105015.04,Desinvesteringen bouwclaims,,5
0105015.05,Desinvesteringen door afstotingen bouwclaims,,5
0105015.06,Omrekeningsverschillen bouwclaims,,5
0105015.07,Overige mutaties bouwclaims,,5
0105020.01,Beginbalans bouwclaims,,5
0105020.02,Afschrijvingen bouwclaims,,5
0105020.03,Desinvestering cumulatieve afschrijvingen en waardeverminderingen bouwclaims,,5
0105020.04,Waardeverminderingen bouwclaims,,5
0105020.05,Terugneming van waardeverminderingen bouwclaims,,5
0105020.06,Overige mutaties waardeveranderingen bouwclaims,,5
0105030.01,Beginbalans bouwclaims,,5
0105030.02,Herwaarderingen bouwclaims,,5
0105030.03,Afschrijving herwaarderingen bouwclaims,,5
0105030.04,Desinvestering herwaarderingen bouwclaims,,5
0110010.01,Beginbalans (overname eindsaldo vorig jaar) overige immateriële vaste activa,,5
0110010.02,Investeringen overige immateriële vaste activa,,5
0110010.03,Bij overname verkregen activa overige immateriële vaste activa,,5
0110010.04,Desinvesteringen overige immateriële vaste activa,,5
0110010.06,Omrekeningsverschillen overige immateriële vaste activa,,5
0110010.07,Overige mutaties overige immateriële vaste activa,,5
0110015.01,Beginbalans (overname eindsaldo vorig jaar) overige immateriële vaste activa,,5
0110015.02,Investeringen overige immateriële vaste activa,,5
0110015.03,Bij overname verkregen activa overige immateriële vaste activa,,5
0110015.04,Desinvesteringen overige immateriële vaste activa,,5
0110015.05,Afstotingen overige immateriële vaste activa,,5
0110015.06,Omrekeningsverschillen overige immateriële vaste activa,,5
