number,description,parent_code,level
0305010.12,Afstotingen vorderingen op groepsmaatschappijen,,5
0305010.08,Omrekeningsverschillen vorderingen op groepsmaatschappijen,,5
0305010.10,Overige mutaties vorderingen op groepsmaatschappijen,,5
0305020.01,Beginbalans (overname eindsaldo vorig jaar) vorderingen op groepsmaatschappijen,,5
0305020.02,Kortlopend deel vorderingen op groepsmaatschappijen (langlopend),,5
0305020.03,Afschrijvingen vorderingen op groepsmaatschappijen,,5
0305020.04,Afschrijving op desinvesteringen vorderingen op groepsmaatschappijen,,5
0305020.05,Bijzondere waardeverminderingen vorderingen op groepsmaatschappijen,,5
0305020.06,Terugneming van bijzondere waardeverminderingen vorderingen op groepsmaatschappijen,,5
0305030.01,Beginbalans (overname eindsaldo vorig jaar) vorderingen op groepsmaatschappijen,,5
0305030.02,Herwaarderingen vorderingen op groepsmaatschappijen,,5
0305030.05,Aandeel in resultaat deelnemingen vorderingen op groepsmaatschappijen,,5
0305030.06,Dividend van deelnemingen vorderingen op groepsmaatschappijen,,5
0305030.07,Afschrijving herwaardering vorderingen op groepsmaatschappijen,,5
0305030.09,Overige mutaties waardeveranderingen vorderingen op groepsmaatschappijen,,5
0305030.08,Desinvestering herwaardering vorderingen op groepsmaatschappijen,,5
0307010.01,Beginbalans (overname eindsaldo vorig jaar) vorderingen op overige verbonden maatschappijen,,5
0307010.02,Investeringen vorderingen op overige verbonden maatschappijen,,5
0307010.14,Stortingen / ontvangen op overige verbonden maatschappijen ,,5
0307010.15,Betalingen / aflossingen op overige verbonden maatschappijen,,5
0307010.03,Aflossingen vorderingen op overige verbonden maatschappijen (langlopend),,5
0307010.04,Bij overname verkregen activa vorderingen op overige verbonden maatschappijen,,5
0307010.11,Desinvesteringen vorderingen op overige verbonden maatschappijen,,5
0307010.12,Afstotingen vorderingen op overige verbonden maatschappijen,,5
0307010.08,Omrekeningsverschillen vorderingen op overige verbonden maatschappijen,,5
0307010.10,Overige mutaties vorderingen op overige verbonden maatschappijen,,5
0309024.14,Overige mutaties vorderingen op lid 4,,5
0307020.01,Beginbalans (overname eindsaldo vorig jaar) vorderingen op overige verbonden maatschappijen,,5
0307020.02,Kortlopend deel vorderingen op overige verbonden maatschappijen (langlopend),,5
0307020.03,Afschrijvingen vorderingen op overige verbonden maatschappijen,,5
0307020.04,Afschrijving op desinvesteringen vorderingen op overige verbonden maatschappijen,,5
0307020.05,Bijzondere waardeverminderingen vorderingen op overige verbonden maatschappijen,,5
0307020.06,Terugneming van bijzondere waardeverminderingen vorderingen op overige verbonden maatschappijen,,5
0307030.01,Beginbalans (overname eindsaldo vorig jaar) vorderingen op overige verbonden maatschappijen,,5
0307030.02,Herwaarderingen vorderingen op overige verbonden maatschappijen,,5
0307030.05,Aandeel in resultaat deelnemingen vorderingen op overige verbonden maatschappijen,,5
0307030.06,Dividend van deelnemingen vorderingen op overige verbonden maatschappijen,,5
0303010.01,Beginbalans (overname eindsaldo vorig jaar) overige deelnemingen,,5
0303010.02,Investeringen overige deelnemingen,,5
0303010.03,Bij overname verkregen activa overige deelnemingen,,5
0303010.06,Aflossingen andere deelnemingen,,5
0303010.09,Rente andere deelnemingen,,5
0303010.04,Desinvesteringen overige deelnemingen,,5
0303010.05,Afstotingen overige deelnemingen,,5
0303010.07,Omrekeningsverschillen overige deelnemingen,,5
0303010.08,Overige mutaties overige deelnemingen,,5
0303020.01,Beginbalans (overname eindsaldo vorig jaar) overige deelnemingen,,5
0303020.02,Afschrijvingen overige deelnemingen,,5
0303020.03,Afschrijving op desinvesteringen overige deelnemingen,,5
0303020.04,Bijzondere waardeverminderingen overige deelnemingen,,5
0303020.05,Terugneming van bijzondere waardeverminderingen overige deelnemingen,,5
0303030.01,Beginbalans (overname eindsaldo vorig jaar) overige deelnemingen,,5
0303030.02,Herwaarderingen andere deelnemingen,,5
0303030.05,Aandeel in resultaat deelnemingen overige deelnemingen,,5
0303030.06,Dividend van deelnemingen overige deelnemingen,,5
0303030.07,Afschrijving herwaardering overige deelnemingen,,5
0303030.09,Overige mutaties waardeveranderingen overige deelnemingen,,5
0303030.08,Desinvestering herwaardering overige deelnemingen,,5
0306010.01,Beginbalans (overname eindsaldo vorig jaar) vorderingen op participanten en op maatschappijen waarin wordt deelgenomen,,5
0306010.02,Investeringen vorderingen op participanten en op maatschappijen waarin wordt deelgenomen,,5
0306010.14,Stortingen / ontvangen  vorderingen op participanten en op maatschappijen waarin wordt deelgenomen,,5
0306010.15,Betalingen / aflossingen vorderingen op participanten en op maatschappijen waarin wordt deelgenomen,,5
0306010.03,Aflossingen vorderingen op participanten en op maatschappijen waarin wordt deelgenomen (langlopend),,5
0306010.13,Rente vorderingen op participnaten en op maatschappijen waarin wordt deelgenomen,,5
0306010.04,Bij overname verkregen activa vorderingen op participanten en op maatschappijen waarin wordt deelgenomen,,5
0306010.11,Desinvesteringen vorderingen op participanten en op maatschappijen waarin wordt deelgenomen,,5
0306010.12,Afstotingen vorderingen op participanten en op maatschappijen waarin wordt deelgenomen,,5
0306010.08,Omrekeningsverschillen vorderingen op participanten en op maatschappijen waarin wordt deelgenomen,,5
0306010.10,Overige mutaties vorderingen op participanten en op maatschappijen waarin wordt deelgenomen,,5
0306020.01,Beginbalans (overname eindsaldo vorig jaar) vorderingen op participanten en op maatschappijen waarin wordt deelgenomen,,5
0306010.09,Kortlopend deel vorderingen op participanten en op maatschappijen waarin wordt deelgenomen (langlopend),,5
0306020.03,Afschrijvingen vorderingen op participanten en op maatschappijen waarin wordt deelgenomen,,5
0306020.04,Afschrijving op desinvesteringen vorderingen op participanten en op maatschappijen waarin wordt deelgenomen,,5
0306010.05,Bijzondere waardeverminderingen vorderingen op participanten en op maatschappijen waarin wordt deelgenomen,,5
0306010.06,Terugneming van bijzondere waardeverminderingen vorderingen op participanten en op maatschappijen waarin wordt deelgenomen,,5
0306030.01,Beginbalans (overname eindsaldo vorig jaar) vorderingen op participanten en op maatschappijen waarin wordt deelgenomen,,5
0306030.02,Herwaarderingen vorderingen op participanten en op maatschappijen waarin wordt deelgenomen,,5
0306030.05,Aandeel in resultaat deelnemingen vorderingen op participanten en op maatschappijen waarin wordt deelgenomen,,5
0306030.06,Dividend van deelnemingen vorderingen op participanten en op maatschappijen waarin wordt deelgenomen,,5
0306030.07,Afschrijving herwaardering vorderingen op participanten en op maatschappijen waarin wordt deelgenomen,,5
0306030.09,Overige mutaties waardeveranderingen vorderingen op participanten en op maatschappijen waarin wordt deelgenomen,,5
0306030.08,Desinvestering herwaardering vorderingen op participanten en op maatschappijen waarin wordt deelgenomen,,5
0304010.01,Beginbalans (overname eindsaldo vorig jaar) overige effecten (langlopend),,5
0304010.02,Investeringen overige effecten (langlopend),,5
0304010.08,Bij overname verkregen activa overige effecten (langlopend),,5
0304010.04,Desinvesteringen overige effecten (langlopend),,5
0304010.05,Waardestijgingen overige effecten (langlopend),,5
0304010.09,Afstotingen overige effecten (langlopend),,5
0304010.06,Omrekeningsverschillen overige effecten (langlopend),,5
0304010.07,Overige mutaties overige effecten (langlopend),,5
0304020.01,Beginbalans (overname eindsaldo vorig jaar) overige effecten (langlopend),,5
0304020.04,Afschrijvingen overige effecten (langlopend),,5
0304020.05,Afschrijving op desinvesteringen overige effecten (langlopend),,5
0304020.02,Bijzondere waardeverminderingen overige effecten (langlopend),,5
0304020.03,Terugneming van bijzondere waardeverminderingen overige effecten (langlopend),,5
0304030.01,Beginbalans (overname eindsaldo vorig jaar) overige effecten (langlopend),,5
0304030.02,Herwaarderingen overige effecten (langlopend),,5
0304030.07,Desinvestering herwaardering overige effecten (langlopend),,5
0304030.08,Overige mutaties waardeveranderingen overige effecten (langlopend),,5
0304030.05,Aandeel in resultaat deelnemingen overige effecten (langlopend),,5
0304030.06,Dividend van deelnemingen overige effecten (langlopend),,5
0309020.01,Beginbalans (overname eindsaldo vorig jaar) vorderingen op bestuurders 1 (langlopend),,5
0309020.02,Beginbalans (overname eindsaldo vorig jaar) vorderingen op bestuurders 2 (langlopend),,5
0309020.03,Beginbalans (overname eindsaldo vorig jaar) vorderingen op bestuurders 3 (langlopend),,5
0309020.04,Beginbalans (overname eindsaldo vorig jaar) vorderingen op bestuurders 4 (langlopend),,5
0309020.05,Beginbalans (overname eindsaldo vorig jaar) vorderingen op bestuurders 5 (langlopend),,5
0309020.06,"Toename leningen, voorschotten en garanties van bestuurders 1 (langlopend)",,5
0309020.07,"Toename leningen, voorschotten en garanties van bestuurders 2 (langlopend)",,5
0309020.08,"Toename leningen, voorschotten en garanties van bestuurders 3 (langlopend)",,5
0309020.09,"Toename leningen, voorschotten en garanties van bestuurders 4 (langlopend)",,5
0309020.10,"Toename leningen, voorschotten en garanties van bestuurders 5 (langlopend)",,5
0309020.11,"Overige mutaties leningen, voorschotten en garanties van bestuurders 1 (langlopend)",,5
0309020.12,"Overige mutaties leningen, voorschotten en garanties van bestuurders 2 (langlopend)",,5
0309020.13,"Overige mutaties leningen, voorschotten en garanties van bestuurders 3 (langlopend)",,5
0309020.14,"Overige mutaties leningen, voorschotten en garanties van bestuurders 4 (langlopend)",,5
0309020.15,"Overige mutaties leningen, voorschotten en garanties van bestuurders 5 (langlopend)",,5
0309022.12,"Overige mutaties leningen, voorschotten en garanties commissaris 2",,5
0309120.01,Beginbalans cumulatieve aflossing vorderingen op bestuurders 1 (langlopend),,5
0309120.02,Beginbalans cumulatieve aflossing vorderingen op bestuurders 2 (langlopend),,5
0309120.03,Beginbalans cumulatieve aflossing vorderingen op bestuurders 3 (langlopend),,5
0309120.04,Beginbalans cumulatieve aflossing vorderingen op bestuurders 4 (langlopend),,5
0309120.05,Beginbalans cumulatieve aflossing vorderingen op bestuurders 5 (langlopend),,5
0309120.06,"Aflossing / afname leningen, voorschotten en garanties bestuurders 1 (langlopend)",,5
0309120.07,"Aflossing / afname leningen, voorschotten en garanties bestuurders 2 (langlopend)",,5
0309120.08,"Aflossing / afname leningen, voorschotten en garanties bestuurders 3 (langlopend)",,5
0309120.09,"Aflossing / afname leningen, voorschotten en garanties bestuurders 4 (langlopend)",,5
0309120.10,"Aflossing / afname leningen, voorschotten en garanties bestuurders 5 (langlopend)",,5
0309021.01,Beginbalans (overname eindsaldo vorig jaar) vorderingen op gewezen bestuurders 1 (langlopend),,5
0309021.02,Beginbalans (overname eindsaldo vorig jaar) vorderingen op gewezen bestuurders 2 (langlopend),,5
0309021.03,Beginbalans (overname eindsaldo vorig jaar) vorderingen op gewezen bestuurders 3 (langlopend),,5
0309021.04,Beginbalans (overname eindsaldo vorig jaar) vorderingen op gewezen bestuurders 4 (langlopend),,5
0309021.05,Beginbalans (overname eindsaldo vorig jaar) vorderingen op gewezen bestuurders 5 (langlopend),,5
0309021.06,"Toename leningen, voorschotten en garanties van gewezen bestuurders 1",,5
0309021.07,"Toename leningen, voorschotten en garanties van gewezen bestuurders 2",,5
0309021.08,"Toename leningen, voorschotten en garanties van gewezen bestuurders 3",,5
0309021.09,"Toename leningen, voorschotten en garanties van gewezen bestuurders 4",,5
0309021.10,"Toename leningen, voorschotten en garanties van gewezen bestuurders 5",,5
0309021.11,"Overige mutaties leningen, voorschotten en garanties van gewezen bestuurders 1",,5
0309021.12,"Overige mutaties leningen, voorschotten en garanties van gewezen bestuurders 2",,5
0309021.13,"Overige mutaties leningen, voorschotten en garanties van gewezen bestuurders 3",,5
0309021.14,"Overige mutaties leningen, voorschotten en garanties van gewezen bestuurders 4",,5
0309021.15,"Overige mutaties leningen, voorschotten en garanties van gewezen bestuurders 5",,5
0309121.01,Beginbalans cumulatieve aflossing vorderingen op gewezen bestuurders 1,,5
0309121.02,Beginbalans cumulatieve aflossing vorderingen op gewezen bestuurders 2,,5
0309121.03,Beginbalans cumulatieve aflossing vorderingen op gewezen bestuurders 3,,5
0309121.04,Beginbalans cumulatieve aflossing vorderingen op gewezen bestuurders 4,,5
0309121.05,Beginbalans cumulatieve aflossing vorderingen op gewezen bestuurders 5,,5
0309121.06,"Aflossing / afname leningen, voorschotten en garanties gewezen bestuurders 1",,5
0309121.07,"Aflossing / afname leningen, voorschotten en garanties gewezen bestuurders 2",,5
0309121.08,"Aflossing / afname leningen, voorschotten en garanties gewezen bestuurders 3",,5
0309121.09,"Aflossing / afname leningen, voorschotten en garanties gewezen bestuurders 4",,5
0309121.10,"Aflossing / afname leningen, voorschotten en garanties gewezen bestuurders 5",,5
0309022.01,Beginbalans (overname eindsaldo vorig jaar) vorderingen op commissaris 1 (langlopend),,5
0309022.02,Beginbalans (overname eindsaldo vorig jaar) vorderingen op commissaris 2 (langlopend),,5
0309022.03,Beginbalans (overname eindsaldo vorig jaar) vorderingen op commissaris 3 (langlopend),,5
0309022.04,Beginbalans (overname eindsaldo vorig jaar) vorderingen op commissaris 4 (langlopend),,5
0309022.05,Beginbalans (overname eindsaldo vorig jaar) vorderingen op commissaris 5 (langlopend),,5
0309022.06,"Toename leningen, voorschotten en garanties commissaris 1",,5
0309022.07,"Toename leningen, voorschotten en garanties commissaris 2",,5
0309022.08,"Toename leningen, voorschotten en garanties commissaris 3",,5
0309022.09,"Toename leningen, voorschotten en garanties commissaris 4",,5
0309022.10,"Toename leningen, voorschotten en garanties commissaris 5",,5
0309022.11,"Overige mutaties leningen, voorschotten en garanties commissaris 1",,5
0309022.13,"Overige mutaties leningen, voorschotten en garanties commissaris 3",,5
0309022.14,"Overige mutaties leningen, voorschotten en garanties commissaris 4",,5
0309022.15,"Overige mutaties leningen, voorschotten en garanties commissaris 5",,5
0309122.01,Beginbalans cumulatieve aflossing vorderingen op commissaris 1,,5
0309122.02,Beginbalans cumulatieve aflossing vorderingen op commissaris 2,,5
0309122.03,Beginbalans cumulatieve aflossing vorderingen op commissaris 3,,5
0309122.04,Beginbalans cumulatieve aflossing vorderingen op commissaris 4,,5
0309122.05,Beginbalans cumulatieve aflossing vorderingen op commissaris 5,,5
0309122.06,"Aflossing / afname leningen, voorschotten en garanties commissaris 1",,5
0309122.07,"Aflossing / afname leningen, voorschotten en garanties commissaris 2",,5
0309122.08,"Aflossing / afname leningen, voorschotten en garanties commissaris 3",,5
0309122.09,"Aflossing / afname leningen, voorschotten en garanties commissaris 4",,5
0309122.10,"Aflossing / afname leningen, voorschotten en garanties commissaris 5",,5
0309023.01,Beginbalans (overname eindsaldo vorig jaar) vorderingen op gewezen commissaris 1 (langlopend),,5
0309023.02,Beginbalans (overname eindsaldo vorig jaar) vorderingen op gewezen commissaris 2 (langlopend),,5
0309023.03,Beginbalans (overname eindsaldo vorig jaar) vorderingen op gewezen commissaris 3 (langlopend),,5
0309023.04,Beginbalans (overname eindsaldo vorig jaar) vorderingen op gewezen commissaris 4 (langlopend),,5
0309023.05,Beginbalans (overname eindsaldo vorig jaar) vorderingen op gewezen commissaris 5 (langlopend),,5
0309023.06,"Toename leningen, voorschotten en garanties gewezen commissaris 1",,5
0309023.07,"Toename leningen, voorschotten en garanties gewezen commissaris 2",,5
0309023.08,"Toename leningen, voorschotten en garanties gewezen commissaris 3",,5
0309023.09,"Toename leningen, voorschotten en garanties gewezen commissaris 4",,5
0309023.10,"Toename leningen, voorschotten en garanties gewezen commissaris 5",,5
0309023.11,"Overige mutaties leningen, voorschotten en garanties gewezen commissaris 1",,5
0309023.12,"Overige mutaties leningen, voorschotten en garanties gewezen commissaris 2",,5
0309023.13,"Overige mutaties leningen, voorschotten en garanties gewezen commissaris 3",,5
0309023.14,"Overige mutaties leningen, voorschotten en garanties gewezen commissaris 4",,5
0309023.15,"Overige mutaties leningen, voorschotten en garanties gewezen commissaris 5",,5
0309123.01,Beginbalans cumulatieve aflossing vorderingen op gewezen commissaris 1,,5
0309123.02,Beginbalans cumulatieve aflossing vorderingen op gewezen commissaris 2,,5
0309123.03,Beginbalans cumulatieve aflossing vorderingen op gewezen commissaris 3,,5
0309123.04,Beginbalans cumulatieve aflossing vorderingen op gewezen commissaris 4,,5
0309123.05,Beginbalans cumulatieve aflossing vorderingen op gewezen commissaris 5,,5
0309123.06,"Aflossing / afname leningen, voorschotten en garanties gewezen commissaris 1",,5
0309123.07,"Aflossing / afname leningen, voorschotten en garanties gewezen commissaris 2",,5
0309123.08,"Aflossing / afname leningen, voorschotten en garanties gewezen commissaris 3",,5
0309123.09,"Aflossing / afname leningen, voorschotten en garanties gewezen commissaris 4",,5
0309123.10,"Aflossing / afname leningen, voorschotten en garanties gewezen commissaris 5",,5
0309024.01,Beginbalans (overname eindsaldo vorig jaar) vorderingen op lid 1 (langlopend),,5
0309024.02,Beginbalans (overname eindsaldo vorig jaar) vorderingen op lid 2 (langlopend),,5
0309024.03,Beginbalans (overname eindsaldo vorig jaar) vorderingen op lid 3 (langlopend),,5
0309024.04,Beginbalans (overname eindsaldo vorig jaar) vorderingen op lid 4 (langlopend),,5
0309024.05,Beginbalans (overname eindsaldo vorig jaar) vorderingen op lid 5 (langlopend),,5
0309024.06,Toename vorderingen op lid 1,,5
0309024.07,Toename vorderingen op lid 2,,5
0309024.08,Toename vorderingen op lid 3,,5
0309024.09,Toename vorderingen op lid 4,,5
0309024.10,Toename vorderingen op lid 5,,5
0309024.11,Overige mutaties vorderingen op lid 1,,5
0309124.01,Beginbalans cumulatieve aflossing vorderingen op lid 1,,5
0309124.02,Beginbalans cumulatieve aflossing vorderingen op lid 2,,5
0309124.03,Beginbalans cumulatieve aflossing vorderingen op lid 3,,5
0309124.04,Beginbalans cumulatieve aflossing vorderingen op lid 4,,5
0309124.05,Beginbalans cumulatieve aflossing vorderingen op lid 5,,5
0309124.06,Aflossing / afname leningen en voorschotten lid 1,,5
0309124.07,Aflossing / afname leningen en voorschotten lid 2,,5
0309124.08,Aflossing / afname leningen en voorschotten lid 3,,5
0309124.09,Aflossing / afname leningen en voorschotten lid 4,,5
0309124.10,Aflossing / afname leningen en voorschotten lid 5,,5
0309025.01,Beginbalans (overname eindsaldo vorig jaar) vorderingen op aandeelhouder 1 (langlopend),,5
0309025.02,Beginbalans (overname eindsaldo vorig jaar) vorderingen op aandeelhouder 2 (langlopend),,5
0309025.03,Beginbalans (overname eindsaldo vorig jaar) vorderingen op aandeelhouder 3 (langlopend),,5
0309025.04,Beginbalans (overname eindsaldo vorig jaar) vorderingen op aandeelhouder 4 (langlopend),,5
0309025.05,Beginbalans (overname eindsaldo vorig jaar) vorderingen op aandeelhouder 5 (langlopend),,5
0309025.06,Toename vorderingen op aandeelhouder 1,,5
0309025.07,Toename vorderingen op aandeelhouder 2,,5
0309025.08,Toename vorderingen op aandeelhouder 3,,5
0309025.09,Toename vorderingen op aandeelhouder 4,,5
0309025.10,Toename vorderingen op aandeelhouder 5,,5
0309025.11,Overige mutaties vorderingen op aandeelhouder 1,,5
0309025.12,Overige mutaties vorderingen op aandeelhouder 2,,5
0309025.13,Overige mutaties vorderingen op aandeelhouder 3,,5
0309025.14,Overige mutaties vorderingen op aandeelhouder 4,,5
0309025.15,Overige mutaties vorderingen op aandeelhouder 5,,5
0309125.01,Beginbalans cumulatieve aflossing vorderingen op aandeelhouder 1,,5
0309125.02,Beginbalans cumulatieve aflossing vorderingen op aandeelhouder 2,,5
0309125.03,Beginbalans cumulatieve aflossing vorderingen op aandeelhouder 3,,5
0309125.04,Beginbalans cumulatieve aflossing vorderingen op aandeelhouder 4,,5
0309125.05,Beginbalans cumulatieve aflossing vorderingen op aandeelhouder 5,,5
0309125.06,Aflossing / afname vorderingen op aandeelhouder 1,,5
0309125.07,Aflossing / afname vorderingen op aandeelhouder 2,,5
0309125.08,Aflossing / afname vorderingen op aandeelhouder 3,,5
0309125.09,Aflossing / afname vorderingen op aandeelhouder 4,,5
0309125.10,Aflossing / afname vorderingen op aandeelhouder 5,,5
0309009.01,Beginbalans (overname eindsaldo vorig jaar) te vorderen subsidie 1 (langlopend),,5
0309009.02,Beginbalans (overname eindsaldo vorig jaar) te vorderen subsidie 2 (langlopend),,5
0309009.03,Beginbalans (overname eindsaldo vorig jaar) te vorderen subsidie 3 (langlopend),,5
0309009.04,Toename te vorderen subsidie 1,,5
0309009.05,Toename te vorderen subsidie 2,,5
0309009.06,Toename te vorderen subsidie 3,,5
0309009.07,Overige mutaties te vorderen subsidie 1,,5
0309009.08,Overige mutaties te vorderen subsidie 2,,5
0309009.09,Overige mutaties te vorderen subsidie 3,,5
0309019.01,Beginbalans cumulatieve aflossing te vorderen subsidies 1,,5
0309019.02,Beginbalans cumulatieve aflossing te vorderen subsidies 2,,5
0309019.03,Beginbalans cumulatieve aflossing te vorderen subsidies 3,,5
0309019.04,Aflossing / afname te vorderen subsidies 1,,5
0309019.05,Aflossing / afname te vorderen subsidies 2,,5
0309019.06,Aflossing / afname te vorderen subsidies 3,,5
0309050.01,Beginbalans (overname eindsaldo vorig jaar) waarborgsom 1 (langlopend),,5
0309050.02,Beginbalans (overname eindsaldo vorig jaar) waarborgsom 2 (langlopend),,5
0309050.03,Beginbalans (overname eindsaldo vorig jaar) waarborgsom 3 (langlopend),,5
0309050.04,Toename waarborgsom 1,,5
0309050.05,Toename waarborgsom 2,,5
0309050.06,Toename waarborgsom 3,,5
0309050.07,Overige mutaties waarborgsom 1,,5
0309050.08,Overige mutaties waarborgsom 2,,5
0309050.09,Overige mutaties waarborgsom 3,,5
0309150.01,Beginbalans cumulatieve aflossing waarborgsom 1,,5
0309150.02,Beginbalans cumulatieve aflossing waarborgsom 2,,5
0309150.03,Beginbalans cumulatieve aflossing waarborgsom 3,,5
0309150.04,Aflossing / afname waarborgsom 1,,5
0309150.05,Aflossing / afname waarborgsom 2,,5
0309150.06,Aflossing / afname waarborgsom 3,,5
0309039.01,Beginbalans (overname eindsaldo vorig jaar) ledenrekeningen 1 (langlopend),,5
0309039.02,Beginbalans (overname eindsaldo vorig jaar) ledenrekeningen 2 (langlopend),,5
0309039.03,Beginbalans (overname eindsaldo vorig jaar) ledenrekeningen 3 (langlopend),,5
0309039.05,Toename ledenrekening 2,,5
0309039.06,Toename ledenrekening 3,,5
0309039.07,Overige mutaties ledenrekening 1,,5
0309039.08,Overige mutaties ledenrekening 2,,5
0309039.09,Overige mutaties ledenrekening 3,,5
0309139.01,Beginbalans cumulatieve aflossing ledenrekening 1,,5
0309139.02,Beginbalans cumulatieve aflossing ledenrekening 2,,5
0309139.03,Beginbalans cumulatieve aflossing ledenrekening 3,,5
0309139.04,Aflossing / afname ledenrekening 1,,5
0309139.05,Aflossing / afname ledenrekening 2,,5
0309139.06,Aflossing / afname ledenrekening 3,,5
0309029.01,Beginbalans (overname eindsaldo vorig jaar) overige financiële vaste activa 1 (langlopend),,5
0309029.02,Beginbalans (overname eindsaldo vorig jaar) overige financiële vaste activa 2 (langlopend),,5
0309029.03,Beginbalans (overname eindsaldo vorig jaar) overige financiële vaste activa 3 (langlopend),,5
0309029.04,Toename overige financiële vaste activa 1,,5
0309029.05,Toename overige financiële vaste activa 2,,5
0309029.06,Toename overige financiële vaste activa 3,,5
0309029.07,Overige mutaties overige financiële vaste activa 1,,5
0309029.08,Overige mutaties overige financiële vaste activa 2,,5
0309029.09,Overige mutaties overige financiële vaste activa 3,,5
0309029.10,Omrekeningsverschillen overige financiële vaste activa 1,,5
0309029.11,Omrekeningsverschillen overige financiële vaste activa 2,,5
0309029.12,Omrekeningsverschillen overige financiële vaste activa 3,,5
0309129.01,Beginbalans (overname eindsaldo vorig jaar) cumulatieve aflossing overige financiële vaste activa 1 (langlopend),,5
0309129.02,Beginbalans (overname eindsaldo vorig jaar) cumulatieve aflossing overige financiële vaste activa 2 (langlopend),,5
0309129.03,Beginbalans (overname eindsaldo vorig jaar) cumulatieve aflossing overige financiële vaste activa 3 (langlopend),,5
0309129.04,Aflossing / afname overige financiële vaste activa 1,,5
0309129.05,Aflossing / afname overige financiële vaste activa 2,,5
0309129.06,Aflossing / afname overige financiële vaste activa 3,,5
0309129.07,Bijzondere waardeverminderingen overige financiële vaste activa 1,,5
0309129.08,Bijzondere waardeverminderingen overige financiële vaste activa 2,,5
0309129.09,Bijzondere waardeverminderingen overige financiële vaste activa 3,,5
0309129.10,Terugneming van bijzondere waardeverminderingen overige financiële vaste activa 1,,5
0309129.11,Terugneming van bijzondere waardeverminderingen overige financiële vaste activa 2,,5
0309129.12,Terugneming van bijzondere waardeverminderingen overige financiële vaste activa 3,,5
0309129.13,Overige mutaties waardeveranderingen overige financiële vaste activa 1,,5
0309129.14,Overige mutaties waardeveranderingen overige financiële vaste activa 2,,5
0309129.15,Overige mutaties waardeveranderingen overige financiële vaste activa 3,,5
0309028.01,Saldo per begin boekjaar,,5
0309028.02,Stortingen,,5
0309028.03,Ontvangsten,,5
0309028.04,Bijzondere waardeverminderingen,,5
0309028.05,Terugneming van bijzondere waardeverminderingen,,5
0309027.01,Saldo per begin boekjaar,,5
0309027.02,Vrijval ten laste van het resultaat,,5
0309027.03,Geactiveerde afrekening break,,5
0309027.04,Bijzondere waardeverminderingen,,5
0309027.05,Terugneming van bijzondere waardeverminderingen,,5
0308010.01,Saldo per begin boekjaar,,5
0308010.02,Toename,,5
0308010.03,Afname,,5
0308020.01,Saldo per begin boekjaar,,5
0308020.02,Toename,,5
0308020.03,Afname,,5
0308030.01,Saldo per begin boekjaar,,5
0308030.02,Toename,,5
0308030.03,Afname,,5
0310010.01,Beginbalans (overname eindsaldo vorig jaar) te vorderen BWS-subsidie 1 (langlopend),,5
0310010.02,Beginbalans (overname eindsaldo vorig jaar) te vorderen BWS-subsidie 2 (langlopend),,5
0310010.03,Beginbalans (overname eindsaldo vorig jaar) te vorderen BWS-subsidie 3 (langlopend),,5
0310010.04,Beginbalans (overname eindsaldo vorig jaar) te vorderen BWS-subsidie 4 (langlopend),,5
0310010.05,Beginbalans (overname eindsaldo vorig jaar) te vorderen BWS-subsidie 5 (langlopend),,5
0310010.06,Toename  te vorderen BWS-subsidie 1,,5
0310010.07,Toename  te vorderen BWS-subsidie 2,,5
0310010.08,Toename  te vorderen BWS-subsidie 3,,5
0310010.09,Toename  te vorderen BWS-subsidie 4,,5
0310010.10,Toename  te vorderen BWS-subsidie 5,,5
0310010.11,Overige mutaties  te vorderen BWS-subsidie 1,,5
0310010.12,Overige mutaties  te vorderen BWS-subsidie 2,,5
0310010.13,Overige mutaties  te vorderen BWS-subsidie 3,,5
0310010.14,Overige mutaties  te vorderen BWS-subsidie 4,,5
0310010.15,Overige mutaties  te vorderen BWS-subsidie 5,,5
0310020.01,Beginbalans cumulatieve aflossing te vorderen BWS-subsidie 1,,5
0310020.02,Beginbalans cumulatieve aflossing te vorderen BWS-subsidie 2,,5
0310020.03,Beginbalans cumulatieve aflossing te vorderen BWS-subsidie 3,,5
0310020.04,Beginbalans cumulatieve aflossing te vorderen BWS-subsidie 4,,5
0310020.05,Beginbalans cumulatieve aflossing te vorderen BWS-subsidie 5,,5
0310020.06,Aflossing / afname te vorderen BWS-subsidie 1,,5
0310020.07,Aflossing / afname te vorderen BWS-subsidie 2,,5
0310020.08,Aflossing / afname te vorderen BWS-subsidie 3,,5
0310020.09,Aflossing / afname te vorderen BWS-subsidie 4,,5
0310020.10,Aflossing / afname te vorderen BWS-subsidie 5,,5
0320010.01,Beginbalans lening u/g 1 (langlopend),,5
0320010.02,Aflossingsverplichting (overboeking naar kortlopend) lening u/g 1,,5
0320010.03,Aflossing / afname in boekjaar lening u/g 1,,5
0320010.04,Toename / uitgegeven in boekjaar lening u/g 1,,5
0320010.06,Omrekeningsverschillen in boekjaar lening u/g 1,,5
0320010.05,Overige mutaties lening u/g 1,,5
0320010.07,Bijzondere waardeverminderingen lening u/g 1,,5
0320010.08,Terugneming van bijzondere waardeverminderingen lening u/g 1,,5
0320010.09,Overige mutaties waardeveranderingen lening u/g 1,,5
0320010.11,Beginbalans lening u/g 2 (langlopend),,5
